"analysis","repeat_id","metric","estimate"
"dcaps_sensitivity",14,"brier",0.172323646955089
"dcaps_sensitivity",14,"log_loss",0.518279256009217
"dcaps_sensitivity",14,"calibration_intercept",-0.00844375838261998
"dcaps_sensitivity",14,"calibration_slope",0.905261711409989
"dcaps_sensitivity",15,"auc",0.814056606489879
"dcaps_sensitivity",15,"brier",0.171041768290833
"dcaps_sensitivity",15,"log_loss",0.513539661521166
"dcaps_sensitivity",15,"calibration_intercept",-0.00232688946090053
"dcaps_sensitivity",15,"calibration_slope",0.930049035787793
"dcaps_sensitivity",16,"auc",0.808643574904264
"dcaps_sensitivity",16,"brier",0.173364027875547
"dcaps_sensitivity",16,"log_loss",0.521615298625543
"dcaps_sensitivity",16,"calibration_intercept",-0.00218560035690764
"dcaps_sensitivity",16,"calibration_slope",0.896605990290353
"dcaps_sensitivity",17,"auc",0.814632460913881
"dcaps_sensitivity",17,"brier",0.170564759121329
"dcaps_sensitivity",17,"log_loss",0.513003166006275
"dcaps_sensitivity",17,"calibration_intercept",-0.00939588320431745
"dcaps_sensitivity",17,"calibration_slope",0.923618712943334
"dcaps_sensitivity",18,"auc",0.810198381849069
"dcaps_sensitivity",18,"brier",0.172483138819287
"dcaps_sensitivity",18,"log_loss",0.5189046546989
"dcaps_sensitivity",18,"calibration_intercept",0.00491450566196119
"dcaps_sensitivity",18,"calibration_slope",0.904276995609058
"dcaps_sensitivity",19,"auc",0.802050041749446
"dcaps_sensitivity",19,"brier",0.176369266055123
"dcaps_sensitivity",19,"log_loss",0.529732563899641
"dcaps_sensitivity",19,"calibration_intercept",-0.000670330057875393
"dcaps_sensitivity",19,"calibration_slope",0.863163400530283
"dcaps_sensitivity",20,"auc",0.804094324954651
"dcaps_sensitivity",20,"brier",0.174677485090714
"dcaps_sensitivity",20,"log_loss",0.52497044434331
"dcaps_sensitivity",20,"calibration_intercept",-0.00170157006656428
"dcaps_sensitivity",20,"calibration_slope",0.878112149349041
"zero_gleason_exclusion",1,"auc",0.810515613652869
"zero_gleason_exclusion",1,"brier",0.172897872975838
"zero_gleason_exclusion",1,"log_loss",0.518504730778711
"zero_gleason_exclusion",1,"calibration_intercept",-0.00391604972610231
"zero_gleason_exclusion",1,"calibration_slope",0.926321325025194
"zero_gleason_exclusion",2,"auc",0.803543936092956
"zero_gleason_exclusion",2,"brier",0.176319211385605
"zero_gleason_exclusion",2,"log_loss",0.529525638273181
"zero_gleason_exclusion",2,"calibration_intercept",0.0100167258617436
"zero_gleason_exclusion",2,"calibration_slope",0.885867134043691
"zero_gleason_exclusion",3,"auc",0.805838779956427
"zero_gleason_exclusion",3,"brier",0.174883379259081
"zero_gleason_exclusion",3,"log_loss",0.522985495555876
"zero_gleason_exclusion",3,"calibration_intercept",-0.000714016409786271
"zero_gleason_exclusion",3,"calibration_slope",0.907495107500044
"zero_gleason_exclusion",4,"auc",0.811474219317357
"zero_gleason_exclusion",4,"brier",0.172748355961745
"zero_gleason_exclusion",4,"log_loss",0.518487225999907
"zero_gleason_exclusion",4,"calibration_intercept",-0.0047561770623918
"zero_gleason_exclusion",4,"calibration_slope",0.930945087740388
"zero_gleason_exclusion",5,"auc",0.809469862018882
"zero_gleason_exclusion",5,"brier",0.173337446580929
"zero_gleason_exclusion",5,"log_loss",0.520660824165717
"zero_gleason_exclusion",5,"calibration_intercept",0.0026460205867596
"zero_gleason_exclusion",5,"calibration_slope",0.916966143903469
"zero_gleason_exclusion",6,"auc",0.811561365286856
"zero_gleason_exclusion",6,"brier",0.171804274665124
"zero_gleason_exclusion",6,"log_loss",0.516688475212876
"zero_gleason_exclusion",6,"calibration_intercept",0.00851750245233332
"zero_gleason_exclusion",6,"calibration_slope",0.939640818573427
"zero_gleason_exclusion",7,"auc",0.809847494553377
"zero_gleason_exclusion",7,"brier",0.173110985982262
"zero_gleason_exclusion",7,"log_loss",0.519678186992684
"zero_gleason_exclusion",7,"calibration_intercept",-0.00734104242933319
"zero_gleason_exclusion",7,"calibration_slope",0.924790047786274
"zero_gleason_exclusion",8,"auc",0.806506899055919
"zero_gleason_exclusion",8,"brier",0.174822020883896
"zero_gleason_exclusion",8,"log_loss",0.524433033077554
"zero_gleason_exclusion",8,"calibration_intercept",-0.00962730278325325
"zero_gleason_exclusion",8,"calibration_slope",0.893913768526172
"zero_gleason_exclusion",9,"auc",0.807843137254902
"zero_gleason_exclusion",9,"brier",0.174174309076151
"zero_gleason_exclusion",9,"log_loss",0.521922996197476
"zero_gleason_exclusion",9,"calibration_intercept",-0.00344051171025056
