"repeat_id","fold","model","analysis_observations","analysis_events","assessment_observations","assessment_events","converged","iterations","minimum_prediction","maximum_prediction"
5,4,"nonlinear_psa",342,138,38,15,TRUE,5,0.0377260759801994,0.937565586275194
5,5,"historical_benchmark",342,138,38,15,TRUE,5,0.0203187364346579,0.989998084226635
5,5,"primary_modern",342,138,38,15,TRUE,5,0.0256039677411784,0.968134783458529
5,5,"nonlinear_psa",342,138,38,15,TRUE,5,0.0210879812795609,0.976172465292483
5,6,"historical_benchmark",342,138,38,15,TRUE,5,0.0473849807119261,0.95773864820195
5,6,"primary_modern",342,138,38,15,TRUE,5,0.0488056531535429,0.961098606340594
5,6,"nonlinear_psa",342,138,38,15,TRUE,6,0.0533874659738495,0.957184637816118
5,7,"historical_benchmark",342,138,38,15,TRUE,5,0.00045534926176337,0.953361954263332
5,7,"primary_modern",342,138,38,15,TRUE,4,0.000196889166773503,0.915414107336648
5,7,"nonlinear_psa",342,138,38,15,TRUE,5,4.8129283766531e-05,0.92071582321696
5,8,"historical_benchmark",343,138,37,15,TRUE,5,0.0402734740836755,0.987469343931744
5,8,"primary_modern",343,138,37,15,TRUE,5,0.0176820135227472,0.95288581008667
5,8,"nonlinear_psa",343,138,37,15,TRUE,5,0.0125507112971973,0.977184420670131
5,9,"historical_benchmark",343,138,37,15,TRUE,5,0.0491662044842739,0.997654329548414
5,9,"primary_modern",343,138,37,15,TRUE,5,0.0314790495206223,0.977518233893594
5,9,"nonlinear_psa",343,138,37,15,TRUE,5,0.0292433216771419,0.991263740222714
5,10,"historical_benchmark",343,138,37,15,TRUE,5,0.0442911374691837,0.992707531025347
5,10,"primary_modern",343,138,37,15,TRUE,5,0.031110126210374,0.951802572747417
5,10,"nonlinear_psa",343,138,37,15,TRUE,6,0.028798832941073,0.983937197731233
6,1,"historical_benchmark",341,137,39,16,TRUE,5,0.0399740190264,0.956216677392391
6,1,"primary_modern",341,137,39,16,TRUE,5,0.0409930740489037,0.962194111684483
6,1,"nonlinear_psa",341,137,39,16,TRUE,6,0.0490246420593011,0.951377837104458
6,2,"historical_benchmark",341,137,39,16,TRUE,5,0.080212830064358,0.994044840453835
6,2,"primary_modern",341,137,39,16,TRUE,5,0.0257064719830904,0.946691760581333
6,2,"nonlinear_psa",341,137,39,16,TRUE,5,0.00450836631285758,0.986733880004312
6,3,"historical_benchmark",341,137,39,16,TRUE,5,0.0437369330848097,0.963440895754479
6,3,"primary_modern",341,137,39,16,TRUE,5,0.0188516384270713,0.961901176673731
6,3,"nonlinear_psa",341,137,39,16,TRUE,5,0.0137166166432925,0.96268367735081
6,4,"historical_benchmark",342,138,38,15,TRUE,5,0.0493292618375439,0.944876723422134
6,4,"primary_modern",342,138,38,15,TRUE,5,0.0335759395127332,0.869157862099687
6,4,"nonlinear_psa",342,138,38,15,TRUE,6,0.0268041492757332,0.893616257521394
6,5,"historical_benchmark",342,138,38,15,TRUE,5,0.0430187316122682,0.990447830620244
6,5,"primary_modern",342,138,38,15,TRUE,5,0.0453823677785303,0.947004561669733
6,5,"nonlinear_psa",342,138,38,15,TRUE,6,0.0495069176945594,0.976893108460271
6,6,"historical_benchmark",342,138,38,15,TRUE,5,0.0841455266924064,0.943416136691153
6,6,"primary_modern",342,138,38,15,TRUE,5,0.0460606426949814,0.946398087440737
6,6,"nonlinear_psa",342,138,38,15,TRUE,6,0.0280392124119554,0.932439742669722
6,7,"historical_benchmark",342,138,38,15,TRUE,5,0.0482588864792187,0.960144690807504
6,7,"primary_modern",342,138,38,15,TRUE,5,0.0474404885753463,0.940238241691115
6,7,"nonlinear_psa",342,138,38,15,TRUE,6,0.0577778493442762,0.961156582598546
6,8,"historical_benchmark",343,138,37,15,TRUE,5,0.00050062500933602,0.898940898087497
6,8,"primary_modern",343,138,37,15,TRUE,4,0.000230046727586924,0.902901600040401
6,8,"nonlinear_psa",343,138,37,15,TRUE,5,5.46978391111224e-05,0.899291802960236
6,9,"historical_benchmark",343,138,37,15,TRUE,5,0.0207083838581696,0.990921189613974
6,9,"primary_modern",343,138,37,15,TRUE,5,0.0255277412813142,0.977482014084834
6,9,"nonlinear_psa",343,138,37,15,TRUE,5,0.017317397277907,0.986121688897115
6,10,"historical_benchmark",343,138,37,15,TRUE,5,0.000235357615827186,0.997568215525723
6,10,"primary_modern",343,138,37,15,TRUE,5,0.000324626209230568,0.9816055283247
6,10,"nonlinear_psa",343,138,37,15,TRUE,6,0.000340785289166441,0.992986604957303
7,1,"historical_benchmark",341,137,39,16,TRUE,5,0.0881192012245878,0.994106853494252
7,1,"primary_modern",341,137,39,16,TRUE,5,0.063703952854017,0.954996181019722
7,1,"nonlinear_psa",341,137,39,16,TRUE,5,0.0698618377062921,0.9837249310307
7,2,"historical_benchmark",341,137,39,16,TRUE,5,0.0589059669271306,0.965369965775753
7,2,"primary_modern",341,137,39,16,TRUE,5,0.0492116033328097,0.9637030277278
7,2,"nonlinear_psa",341,137,39,16,TRUE,5,0.0418260700358708,0.964093533417744
7,3,"historical_benchmark",341,137,39,16,TRUE,5,0.0304929087272255,0.995253817682036
7,3,"primary_modern",341,137,39,16,TRUE,5,0.0137901095609181,0.985043754032095
7,3,"nonlinear_psa",341,137,39,16,TRUE,6,0.00551288799209915,0.992364701134538
7,4,"historical_benchmark",342,138,38,15,TRUE,5,0.00044300053290522,0.968415167984253
7,4,"primary_modern",342,138,38,15,TRUE,5,0.000597899222846757,0.959475649315784
7,4,"nonlinear_psa",342,138,38,15,TRUE,5,0.000591693284454323,0.967848328106249
7,5,"historical_benchmark",342,138,38,15,TRUE,5,0.0465601826490004,0.991527001556663
7,5,"primary_modern",342,138,38,15,TRUE,5,0.0267184482672597,0.948380873797
7,5,"nonlinear_psa",342,138,38,15,TRUE,5,0.00448372337339439,0.977599790878131
7,6,"historical_benchmark",342,138,38,15,TRUE,5,0.0436214916453679,0.948810409857973
7,6,"primary_modern",342,138,38,15,TRUE,5,0.0303296892640997,0.93730296532448
7,6,"nonlinear_psa",342,138,38,15,TRUE,6,0.0228848557388352,0.943168203742215
7,7,"historical_benchmark",342,138,38,15,TRUE,5,0.0454689034463404,0.997221498090537
7,7,"primary_modern",342,138,38,15,TRUE,5,0.0430580443578502,0.980329979683103
