"model","repeat_id","metric","estimate"
"historical_benchmark",14,"calibration_intercept",-0.00585633483298015
"historical_benchmark",14,"calibration_slope",0.926740794205333
"historical_benchmark",15,"auc",0.81071665083067
"historical_benchmark",15,"brier",0.172825405783301
"historical_benchmark",15,"log_loss",0.517202238929314
"historical_benchmark",15,"calibration_intercept",-0.00401312297736303
"historical_benchmark",15,"calibration_slope",0.925993868513389
"historical_benchmark",16,"auc",0.804814142984653
"historical_benchmark",16,"brier",0.174942606063481
"historical_benchmark",16,"log_loss",0.523803067633541
"historical_benchmark",16,"calibration_intercept",0.00183576097586485
"historical_benchmark",16,"calibration_slope",0.902724480729207
"historical_benchmark",17,"auc",0.814977973568282
"historical_benchmark",17,"brier",0.17092047757125
"historical_benchmark",17,"log_loss",0.512641855919236
"historical_benchmark",17,"calibration_intercept",-0.0082713610447039
"historical_benchmark",17,"calibration_slope",0.943703950367793
"historical_benchmark",18,"auc",0.813466355705278
"historical_benchmark",18,"brier",0.17185056809904
"historical_benchmark",18,"log_loss",0.516433657519667
"historical_benchmark",18,"calibration_intercept",0.00102590542999072
"historical_benchmark",18,"calibration_slope",0.92979741621038
"historical_benchmark",19,"auc",0.808053324119663
"historical_benchmark",19,"brier",0.17392835837913
"historical_benchmark",19,"log_loss",0.521524696501985
"historical_benchmark",19,"calibration_intercept",-0.00347357944391112
"historical_benchmark",19,"calibration_slope",0.908889000021254
"historical_benchmark",20,"auc",0.804929313869454
"historical_benchmark",20,"brier",0.174187922418954
"historical_benchmark",20,"log_loss",0.522212048169637
"historical_benchmark",20,"calibration_intercept",-0.00325668653823016
"historical_benchmark",20,"calibration_slope",0.903969506538093
"primary_modern",1,"auc",0.812185079611874
"primary_modern",1,"brier",0.171987792784885
"primary_modern",1,"log_loss",0.515776618601731
"primary_modern",1,"calibration_intercept",-0.00391781420422804
"primary_modern",1,"calibration_slope",0.926361146851496
"primary_modern",2,"auc",0.805274826523855
"primary_modern",2,"brier",0.175389038191729
"primary_modern",2,"log_loss",0.526734350396397
"primary_modern",2,"calibration_intercept",0.010019559361403
"primary_modern",2,"calibration_slope",0.885947478378812
"primary_modern",3,"auc",0.807549451498661
"primary_modern",3,"brier",0.173962316183686
"primary_modern",3,"log_loss",0.520233354307193
"primary_modern",3,"calibration_intercept",-0.000711249932906821
"primary_modern",3,"calibration_slope",0.907556289253833
"primary_modern",4,"auc",0.813164032132677
"primary_modern",4,"brier",0.171839124972383
"primary_modern",4,"log_loss",0.515760608219285
"primary_modern",4,"calibration_intercept",-0.00475924443255373
"primary_modern",4,"calibration_slope",0.931009758502838
"primary_modern",5,"auc",0.811148541648671
"primary_modern",5,"brier",0.172424477014284
"primary_modern",5,"log_loss",0.517920060474541
"primary_modern",5,"calibration_intercept",0.00264716546975983
"primary_modern",5,"calibration_slope",0.917011446540664
"primary_modern",6,"auc",0.813221617575077
"primary_modern",6,"brier",0.170899495613014
"primary_modern",6,"log_loss",0.51396916774392
"primary_modern",6,"calibration_intercept",0.00851939273275493
"primary_modern",6,"calibration_slope",0.939673675833448
"primary_modern",7,"auc",0.811522847024272
"primary_modern",7,"brier",0.172199734443482
"primary_modern",7,"log_loss",0.516944725521782
"primary_modern",7,"calibration_intercept",-0.00734271825210745
"primary_modern",7,"calibration_slope",0.924852262476179
"primary_modern",8,"auc",0.808240476807463
"primary_modern",8,"brier",0.173900858745733
"primary_modern",8,"log_loss",0.52167142156058
"primary_modern",8,"calibration_intercept",-0.00962238456303404
"primary_modern",8,"calibration_slope",0.893969691680768
"primary_modern",9,"auc",0.809536149261467
"primary_modern",9,"brier",0.173257396540864
"primary_modern",9,"log_loss",0.519177356963561
"primary_modern",9,"calibration_intercept",-0.00344193830179448
"primary_modern",9,"calibration_slope",0.920017828751799
"primary_modern",10,"auc",0.808758745789064
"primary_modern",10,"brier",0.174578736717456
"primary_modern",10,"log_loss",0.522252934239245
"primary_modern",10,"calibration_intercept",-0.0101705278920866
"primary_modern",10,"calibration_slope",0.901200040250023
"primary_modern",11,"auc",0.80731910972906
"primary_modern",11,"brier",0.174076126652669
"primary_modern",11,"log_loss",0.521739063981714
"primary_modern",11,"calibration_intercept",0.0023663486723233
"primary_modern",11,"calibration_slope",0.906720366362685
"primary_modern",12,"auc",0.811781981515073
"primary_modern",12,"brier",0.172177793076781
"primary_modern",12,"log_loss",0.516671511101402
"primary_modern",12,"calibration_intercept",-0.00340358898796341
"primary_modern",12,"calibration_slope",0.927459473253036
"primary_modern",13,"auc",0.81065906538827
